AGE,GENDER,MARITAL_STATUS,GROSS_ANNUAL_INCOME,EDUCATION,OCCUPATION,CASH,EQUITY,INSURANCE,FIXED_DEPOSIT,GOLD,MUTUAL_FUNDS,BEH,RP1,RP2,RP3,RA1,RA2,RA3,FQPB,PBC1,PBC2,PBC3,PBC4,GOAL,BI1,BI2
3,2,2,6,4,2,6,6,1,2,6,1,1,4,4,4,4,2,6,6,7,7,7,7,714,7,7
3,2,2,3,4,2,4,2,1,1,4,1,1,2,1,1,3,2,2,7,7,6,7,6,384,6,6
4,2,2,3,4,3,3,2,5,1,1,3,3,5,5,5,3,4,4,5,6,7,5,7,463,5,4
3,2,1,5,4,2,3,1,2,3,2,2,2,2,2,2,3,3,3,6,6,6,7,7,3,6,6
2,1,1,2,3,2,3,3,2,2,3,2,2,3,4,3,3,5,4,4,4,3,3,4,453,5,3
3,2,2,3,4,2,2,2,2,3,3,3,3,3,5,4,4,4,3,3,5,4,5,5,415,4,3
4,2,2,3,2,3,1,1,1,3,1,2,2,5,4,4,5,6,5,6,6,1,6,3,874,3,6
3,2,2,2,3,2,2,2,3,3,2,1,1,3,4,2,3,4,4,6,5,3,3,5,426,7,5
4,2,2,2,2,2,3,3,2,2,2,3,3,3,5,5,3,4,4,3,5,3,6,5,731,4,2
4,2,2,2,2,3,3,5,2,2,1,2,2,4,5,4,3,2,3,3,6,4,6,5,873,5,2
3,2,2,2,3,3,2,2,2,2,3,2,2,5,4,4,5,5,4,4,6,4,3,6,763,3,3
2,2,1,2,4,3,1,2,2,2,3,2,2,4,2,3,3,4,3,4,5,3,4,6,671,3,3
3,2,2,2,3,3,3,2,2,2,3,4,4,3,5,5,3,4,4,3,6,3,4,6,476,6,5
3,2,2,6,4,2,6,3,1,3,3,1,1,1,1,1,3,2,2,7,5,7,7,7,521,7,6
4,2,2,6,4,2,6,5,3,2,1,4,4,5,2,3,5,5,3,7,6,6,6,6,713,6,6
3,2,2,6,4,2,3,5,3,5,1,2,2,3,3,4,2,2,2,7,6,6,6,6,251,6,6
3,2,1,6,4,3,1,1,6,1,5,6,6,7,7,7,1,1,1,1,1,1,7,7,812,1,1
4,2,2,6,4,2,4,4,3,2,1,4,4,5,5,5,5,5,7,1,2,1,2,2,327,1,2
4,2,2,3,3,4,2,3,1,1,2,1,1,2,2,1,6,5,1,7,6,6,6,7,248,7,7
4,2,2,3,3,3,2,4,3,4,5,1,1,2,1,1,3,3,6,6,6,6,6,7,274,7,7
3,2,2,2,4,1,3,3,2,1,4,1,1,1,2,1,2,3,1,7,6,7,6,7,718,7,6
5,2,1,3,3,3,2,3,2,3,2,1,1,1,2,1,5,2,3,7,7,7,5,7,327,7,7
4,2,2,3,3,3,2,4,3,4,3,1,1,3,1,2,5,3,3,7,6,7,7,7,784,7,7
3,2,2,2,3,3,3,4,2,4,3,1,1,6,2,1,3,3,2,7,7,7,7,6,724,7,7
3,2,2,2,3,3,3,1,3,3,3,6,6,3,3,5,5,1,3,2,3,3,5,2,417,2,2
3,1,3,5,4,2,6,6,6,1,1,6,6,4,4,4,5,1,2,1,5,5,5,4,234,5,6
3,2,1,6,4,2,5,6,5,5,3,4,4,3,3,3,6,6,6,5,6,6,5,6,671,7,7
3,2,2,6,4,2,6,1,6,6,6,1,1,2,1,2,2,2,1,7,7,7,7,7,152,7,7
3,2,2,6,4,2,2,3,3,3,6,1,1,2,2,3,6,2,3,7,5,6,5,4,21,7,7
2,1,2,6,4,3,4,6,2,1,3,6,6,3,4,3,6,3,7,1,4,4,4,4,432,4,4
3,2,2,6,4,2,6,6,6,4,6,1,1,2,2,2,2,2,6,7,5,6,6,2,251,7,2
3,2,2,6,4,2,5,4,5,4,6,3,3,7,5,6,6,7,2,4,4,4,6,5,64,5,5
4,2,2,6,4,2,6,6,5,5,4,2,2,3,3,6,6,5,5,6,5,5,6,6,154,6,6
5,2,2,2,3,2,2,3,2,2,1,1,1,1,1,1,7,6,7,6,7,7,7,7,678,7,7
2,2,1,3,4,1,2,3,2,3,3,1,1,1,2,1,7,7,7,7,7,7,7,7,426,7,1
2,2,2,3,4,1,1,2,2,2,2,2,2,1,1,1,7,7,6,4,7,7,7,7,462,7,1
6,2,2,1,3,4,3,4,2,2,4,4,4,3,4,4,3,3,4,3,5,5,5,4,563,3,3
3,2,2,3,4,2,3,4,1,3,3,1,1,1,2,1,5,1,4,6,7,7,6,6,327,7,6
2,2,1,2,3,6,6,5,2,1,6,5,5,4,4,4,2,2,2,3,3,4,3,3,471,5,4
3,2,2,3,3,2,2,3,2,4,3,1,1,2,1,1,4,3,6,7,6,7,6,6,243,7,6
3,2,2,3,4,2,4,3,1,1,3,1,1,1,1,1,6,2,3,6,7,7,6,6,174,7,7
4,2,2,4,3,1,1,2,1,1,2,1,1,1,1,2,7,6,7,6,7,7,7,7,274,7,7
3,1,2,2,3,2,2,4,3,2,4,1,1,1,1,2,5,3,6,5,7,6,7,6,423,6,6
5,2,3,4,4,1,1,3,1,1,2,1,1,1,1,2,5,3,4,7,7,7,7,7,178,7,1
3,2,2,3,4,2,3,4,2,1,3,1,1,1,1,1,5,4,2,7,6,6,6,7,843,7,6
2,2,1,2,4,6,6,1,5,4,3,2,2,7,7,7,2,2,1,1,4,4,3,3,4,7,5
3,2,2,3,3,2,3,3,1,2,3,1,1,1,1,2,2,1,1,6,7,6,6,6,734,6,7
5,2,2,2,4,2,3,3,5,2,1,3,3,5,5,5,5,5,4,1,5,5,7,5,1,4,3
5,2,2,4,4,1,2,2,1,1,2,1,1,1,1,2,7,6,7,7,7,7,7,7,871,7,1
2,2,1,3,3,2,1,1,1,1,1,1,1,1,1,1,7,7,7,6,7,7,6,7,264,7,1
3,2,2,3,4,2,4,3,2,2,4,1,1,1,2,1,4,2,5,7,7,6,6,7,724,6,6
3,1,2,3,4,6,2,4,1,2,4,1,1,2,1,1,2,1,5,6,6,6,7,7,387,7,6
3,2,2,3,3,3,5,4,3,3,3,5,5,5,4,4,4,5,4,5,6,3,6,4,8,5,3
4,2,2,3,4,2,5,4,6,4,4,5,5,6,5,5,4,4,6,5,6,5,5,7,586,6,6
