AGE,GENDER,MARITAL_STATUS,GROSS_ANNUAL_INCOME,EDUCATION,OCCUPATION,CASH,EQUITY,INSURANCE,FIXED_DEPOSIT,GOLD,MUTUAL_FUNDS,BEH,RP1,RP2,RP3,RA1,RA2,RA3,FQPB,PBC1,PBC2,PBC3,PBC4,GOAL,BI1,BI2,RA_total,RP_total,PBC_total,BI_total,GOAL_scaled,RA_total_scaled,RP_total_scaled,PBC_total_scaled,BI_total_scaled,FQPB_scaled,GENDER_encoded,EDUCATION_encoded,OCCUPATION_encoded,MARITAL_STATUS_encoded
4,2,2,6,4,2,4,2,6,6,3,2,2,6,6,5,2,2,2,6,6,6,6,6,612,6,5,6,17,24,11,0.855519101232102,-1.507039625459737,1.6107221329212742,0.26582338907278696,0.050362050355412635,0.5611195533170845,1,3,1,1
3,2,1,6,4,2,5,3,2,1,6,4,4,3,3,3,3,1,2,4,7,7,7,7,21,7,6,6,9,28,13,-1.2737223486446165,-1.507039625459737,-0.0648646170958153,1.1442866201492612,0.7375603503663616,-0.5056380693935977,1,3,1,0
4,2,2,6,4,2,4,4,6,2,1,3,3,2,2,2,5,3,4,6,6,5,5,5,461,7,6,12,6,21,13,0.3114997121773059,-0.19174850805368054,-0.6932096483522239,-0.39302403423456883,0.7375603503663616,0.5611195533170845,1,3,1,1
3,2,2,5,4,2,6,4,5,3,1,2,2,2,2,2,3,5,3,6,6,6,6,6,7,6,6,11,6,24,12,-1.3241612323980412,-0.41096369428802326,-0.6932096483522239,0.26582338907278696,0.3939612003608871,0.5611195533170845,1,3,1,1
6,1,2,1,3,5,6,6,6,1,6,6,6,3,4,4,6,5,6,1,1,6,7,7,714,1,1,17,11,21,2,1.223002397149911,0.9043274231180332,0.3540320704084571,-0.39302403423456883,-3.0420302996938577,-2.105774503459621,0,2,4,1
4,2,2,5,4,2,6,5,2,2,3,5,5,3,3,3,6,6,6,3,4,5,4,3,527,5,5,18,9,16,10,0.5492830213005943,1.123542609352376,-0.0648646170958153,-1.4911030730801618,-0.29323709965006184,-1.0390168807489388,1,3,1,1
4,2,2,5,4,2,5,3,6,5,5,1,1,7,5,6,6,6,2,7,7,7,7,7,215,7,7,14,18,28,14,-0.574783530918587,0.24668186441500492,1.8201704766734104,1.1442866201492612,1.0811595003718362,1.0944983646724256,1,3,1,1
4,1,2,6,4,2,6,1,3,6,5,1,1,6,6,6,6,1,2,6,5,7,7,7,821,7,5,9,18,26,12,1.608499580122515,-0.8493940667567087,1.8201704766734104,0.7050550046110241,0.3939612003608871,0.5611195533170845,0,3,1,1
3,2,1,5,3,2,5,1,5,3,6,2,2,1,1,1,4,7,1,7,6,7,7,7,816,7,7,12,3,27,14,1.5904856930677205,-0.19174850805368054,-1.3215546796086324,0.9246708123801427,1.0811595003718362,1.0944983646724256,1,2,1,0
4,2,2,6,4,2,6,6,4,5,1,2,2,6,3,3,5,5,3,7,7,7,7,7,514,7,6,13,12,28,13,0.5024469149581283,0.0274666781806622,0.5634804141605932,1.1442866201492612,0.7375603503663616,1.0944983646724256,1,3,1,1
